wikidata_id,name,instance_of,country
Q7581026,Springfield Presbyterian Church,church,United States of America
Q6930296,Mt. Moriah Baptist Church,church,United States of America
Q7590287,St. Mary's Episcopal Church,church,United States of America
Q4883837,Belleview Baptist Church,church,United States of America
Q4905175,Big Bone Methodist Church,church,United States of America
Q5109907,Christian Meeting House,building,United States of America
Q5327850,East Bend Church,church,United States of America
Q5899839,Hopeful Lutheran Church,church,United States of America
Q5167715,Cooper's Run Baptist Church,church,United States of America
Q5452627,First Christian Church,church,United States of America
Q5453534,First Presbyterian Church,church,United States of America
Q5453974,First United Methodist Church,church,United States of America
Q7588425,St. James AME Church,church,United States of America
Q5133177,Clifton Baptist Church Complex,church,United States of America
Q5452632,First Christian Church,church,United States of America
Q5453557,First Presbyterian Church,church,United States of America
Q6712176,"M.E. Church, South",church,United States of America
Q5499378,Fredonia Cumberland Presbyterian Church,church,United States of America
Q5452413,First Baptist Church,church,United States of America
Q5452637,First Christian Church,church,United States of America
Q7397155,Sacred Heart Church,church,United States of America
Q7589271,St. Joseph Catholic Church and Cemetery,cemetery,United States of America
Q7404140,Salem Methodist Episcopal Church and Parsonage,church,United States of America
Q5500998,Freeman Chapel C.M.E. Church,church,United States of America
Q5591119,Grace Episcopal Church,church,United States of America
Q6471467,Lafayette Methodist Church,church,United States of America
Q5587278,Goshen Primitive Baptist Church,church,United States of America
Q5170663,Corinth Christian Methodist Episcopal Church,church,United States of America
Q4775011,Antioch Christian Church,church,United States of America
Q5452979,First Evangelical Reformed Church,church,United States of America
Q7591948,St. Thomas Episcopal Church,church,United States of America
Q8034073,Wooton Presbyterian Center,church,United States of America
Q7084582,Old Mulkey Meetinghouse,church,United States of America
Q6924345,Mount Vernon AME Church,church,United States of America
Q4983161,Buckhorn Presbyterian Church and the Greer Gymnasium,church,United States of America
Q6667168,Logan Tabernacle,,United States of America
Q5224010,Darlington United Methodist Church,church,United States of America
Q7589543,St. Louis' Catholic Church,church,United States of America
Q7590795,St. Nicholas' Catholic Church,church,United States of America
Q4897842,Bethel AME Church,church,United States of America
Q7588848,St. John's United Methodist Church,church,United States of America
Q5453558,First Presbyterian Church,church,United States of America
Q7225577,Pollard Baptist Church,church,United States of America
Q468246,American-Cassinese Congregation,human settlement,United States of America
Q7400967,Saint Anselm Abbey,,United States of America
Q7589789,St. Luke's Episcopal Church,church,United States of America
Q7588957,St. John the Baptist Church,church,United States of America
Q7605163,Ste. Marie Church,church,United States of America
Q5117240,Church of St. John Nepomucene,church,United States of America
Q6693119,Lowe Avenue Presbyterian Church Omaha,church,United States of America
Q7589078,St. Joseph's Catholic Church,church,United States of America
Q7842768,Trinity Episcopal Church,church,United States of America
Q5582963,Good Spring Baptist Church and Cemetery,church,United States of America
Q6276208,Joppa Baptist Church and Cemetery,church,United States of America
Q6745857,Mammoth Cave Baptist Church and Cemetery,church,United States of America
Q5452254,First African Baptist Church,church,United States of America
Q8563362,First Presbyterian Church,church,United States of America
Q7443477,Second Presbyterian Church,church,United States of America
Q7963625,Walnut Hill Presbyterian Church,church,United States of America
Q5363912,Elizaville Presbyterian Church,church,United States of America
Q5453570,First Presbyterian Church,church,United States of America
Q14690934,"Methodist Episcopal Church, South (Prestonsburg, Kentucky)",church,United States of America
Q7788328,Thomas Chapel C.M.E. Church,church,United States of America
Q6823783,Methodist Episcopal Church,church,United States of America
Q6930306,Mt. Olivet Methodist Church,church,United States of America
Q7124941,Paint Lick Presbyterian Church,church,United States of America
Q5604493,Greensburg Cumberland Presbyterian Church,church,United States of America
Q6930273,Mt. Gilead Baptist Church,church,United States of America
Q6823801,Methodist Episcopal Church South,church,United States of America
Q8039312,Wurtland Union Church,,United States of America
Q6004372,Immaculate Conception Church,church,United States of America
Q7590837,St. Nicholas Kirche,architectural structure,United States of America
Q5052373,Cathedral of Saint Peter,cathedral,United States of America
Q15437054,Thomas Joseph Grady,human,
Q5452377,First Baptist Church,church,United States of America
Q6823816,Methodist Episcopal Church of Windham Centre,church,United States of America
Q6343279,Kaahumanu Church,church,United States of America
Q7960240,Waioli Mission District,historic district in the United States,United States of America
Q5591047,Grace Church,church,United States of America
Q5141735,Cokesbury Church,church,United States of America
Q7588122,St. George's Church,church,United States of America
Q7588450,St. James Church,church,United States of America
Q5108804,Christ Church Glendower,church,United States of America
Q5178937,Cove Presbyterian Church,church,United States of America
Q5326914,Earlysville Union Church,church,United States of America
Q5373178,Emmanuel Church,church,United States of America
Q7074005,Oakland Grove Presbyterian Church,church,United States of America
Q7588630,St. John's Church,church,United States of America
Q4876512,Bear Mountain Indian Mission School,church,United States of America
Q6669298,Lomax African Methodist Episcopal Zion Church,church,United States of America
Q7084791,Old Providence Stone Church,church,United States of America
